Country Name;Country Code;GDP PPP;Gini;Surf;toursim_export_share;visiting_tourists;outbound_tourists;population;Notes
Nepal;NPL;3922.081331;32.8;143350;29.38127199;1197000;1197000;28832496;
Netherlands;NLD;56784.03725;26;33670;3.15802843;20129000;22045000;17344874;
Netherlands;BES;56784.03725;26;33670;;;;27726;
New Caledonia;NCL;;;18280;13.22556049;130000;144000;271240;Manual population
New Zealand;NZL;43110.37124;;263310;18.83041921;3888000;3225000;4979200;
New Zealand;COK;43110.37124;;263310;;;;17459;Manual population
New Zealand;NIU;43110.37124;;263310;;;;1620;Manual population
Nicaragua;NIC;5348.987315;46.2;120340;;1455000;949000;6663924;
Niger;NER;1217.445986;37.3;1266700;9.375080561;192000;;23443393;
Nigeria;NGA;5076.36829;35.1;910770;2.103630753;5265000;;203304492;
North Macedonia;MKD;16773.08172;33.5;25220;5.140791077;758000;;2076694;
Northern Mariana Islands;MNP;;;460;;487000;;49858;
Norway;NOR;64385.00599;27.7;365094;4.812682179;5879000;8890000;5347896;
Oman;OMN;33814.11162;;309500;7.060010973;3506000;6633000;4602768;
Pakistan;PAK;5157.546572;29.6;770880;3.234415221;966000;;223293280;
Palau;PLW;17605.48026;;460;92.86032448;94000;;17916;
Panama;PAN;31543.60606;50.9;74180;24.63809871;2494000;1226000;4232532;
Papua New Guinea;PNG;3947.86549;;452860;0.039916738;211000;52000;9542486;
Paraguay;PRY;13609.72301;42.9;397300;3.081600861;4368000;1192000;6530026;
Peru;PER;12735.16828;40.2;1280000;8.601569444;5275000;3275000;32824861;
Philippines;PHL;8731.860869;40.7;298170;12.09086478;8261000;5703000;110380804;
Poland;POL;33159.74903;28.8;306110;4.747774481;88515000;50600000;37965475;
Portugal;PRT;34945.66151;34.7;91605.6;23.45542178;17283000;3100000;10286263;
Puerto Rico;PRI;34792.65549;;8870;;4931000;792000;3193694;
Qatar;QAT;90840.42907;;11490;16.99908073;2136500;;2807235;
Romania;ROU;30000.97783;34.6;230080;4.202126458;12815000;23066000;19371648;
Russian Federation;RUS;27254.57422;36;16376870;3.578054772;24419000;45330000;144406261;
Rwanda;RWA;2191.401609;43.7;24670;28.20362484;1634000;;12835028;
Samoa;WSM;6346.146335;38.7;2780;61.19693516;181000;69000;211905;
San Marino;SMR;60076.01134;;60;;1904000;;34178;
Sao Tome and Principe;STP;4013.721897;40.7;960;73.19355971;33400.00153;;214599;
